DisNo.,Disaster Subtype,External IDs,ISO,Magnitude,Date,Total Deaths,No. Injured,No. Homeless,No. Affected,Total Affected,Development,Depth
2003-0783-TUR,Ground movement,USGS:usp000buu9,TUR,5.8,2003/4/10,,170.0,,,170.0,0.0,10.0
2004-0001-IDN,Ground movement,USGS:usp000cgss,IDN,5.8,2004/1/1,1.0,40.0,,30000.0,30040.0,0.0,44.5
2004-0011-DZA,Ground movement,USGS:usp000chm5,DZA,4.5,2004/1/10,,300.0,,,300.0,0.0,10.0
2004-0040-IDN,Ground movement,USGS:usp000ckg7,IDN,7.0,2004/2/5,37.0,682.0,,13390.0,14072.0,0.0,16.6
2004-0054-PAK,Ground movement,USGS:usp000cm59,PAK,5.5,2004/2/14,24.0,63.0,2320.0,10765.0,13148.0,0.0,11.0
2004-0073-MAR,Ground movement,USGS:usp000cmxe,MAR,6.4,2004/2/24,628.0,926.0,12539.0,,13465.0,0.0,0.0
2004-0088-IDN,Ground movement,USGS:usp000cmbk,IDN,5.1,2004/2/16,5.0,7.0,,500.0,507.0,0.0,55.8
2004-0126-CHN,Ground movement,USGS:usp000cqr9,CHN,5.5,2004/3/24,,100.0,,190000.0,190100.0,0.0,18.8
2004-0127-TUR,Ground movement,USGS:usp000cqvt,TUR,5.6,2004/3/25,9.0,30.0,,4000.0,4030.0,0.0,10.0
2004-0132-TUR,Ground movement,USGS:usp000cr2z,TUR,5.6,2004/3/28,,30.0,,32500.0,32530.0,0.0,5.0
2004-0147-TJK,Ground movement,USGS:usp000cy53,TJK,4.3,2004/4/1,,,,180.0,180.0,0.0,35.0
2004-0234-IRN,Ground movement,USGS:usp000cwf9,IRN,6.3,2004/5/28,35.0,278.0,,220.0,498.0,0.0,17.0
2004-0250-RUS,Ground movement,USGS:usp000cwkb,RUS,4.9,2004/5/31,,,,138.0,138.0,0.0,13.7
2004-0308-TUR,Ground movement,USGS:usp000czcr,TUR,5.1,2004/7/1,18.0,21.0,,335.0,356.0,0.0,5.0
2004-0406-CHN,Ground movement,USGS:usp000d1w5,CHN,5.4,2004/8/10,4.0,600.0,120000.0,,120600.0,0.0,6.3
2004-0426-COL,Ground movement,USGS:usp000d2cd,COL,5.1,2004/8/18,1.0,2.0,500.0,,502.0,0.0,26.5
2004-0436-AFG,Ground movement,USGS:usp000d0du,AFG,5.2,2004/7/18,2.0,40.0,1000.0,,1040.0,0.0,10.0
2004-0522-CHN,Ground movement,USGS:usp000d6mj,CHN,4.8,2004/10/18,,12.0,,100000.0,100012.0,0.0,30.2
2004-0532-JPN,Ground movement,USGS:usp000d6vk,JPN,6.6,2004/10/23,40.0,3183.0,,59000.0,62183.0,1.0,16.0
2004-0562-IDN,Ground movement,USGS:usp000d85g,IDN,7.5,2004/11/11,33.0,311.0,,83070.0,83381.0,0.0,10.0
2004-0571-CHN,Ground movement,USGS:usp000d3us,CHN,5.2,2004/9/7,,19.0,3000.0,19000.0,22019.0,0.0,10.0
2004-0575-COL,Ground movement,USGS:usp000d8gx,COL,7.2,2004/11/15,,20.0,,8016.0,8036.0,0.0,15.0
2004-0582-DMA,Ground movement,USGS:usp000d8w3,DMA,6.3,2004/11/21,,,,100.0,100.0,0.0,14.0
2004-0582-GLP,Ground movement,USGS:usp000d8w3,GLP,6.3,2004/11/21,1.0,13.0,40.0,100.0,153.0,,14.0
2004-0599-CRI,Ground movement,USGS:usp000d8tf,CRI,6.4,2004/11/20,8.0,,25.0,255.0,280.0,0.0,16.0
2004-0607-IDN,Ground movement,USGS:usp000d975,IDN,7.1,2004/11/26,32.0,213.0,,12620.0,12833.0,0.0,10.0
2004-0620-DZA,Ground movement,USGS:usp000d9r7,DZA,4.5,2004/12/1,,15.0,,,15.0,0.0,10.0
2004-0659-BGD,Tsunami,,BGD,9.1,2004/12/26,2.0,,,,,0.0,
2004-0659-IDN,Tsunami,,IDN,9.1,2004/12/26,165708.0,,532898.0,,532898.0,0.0,
2004-0659-IND,Tsunami,,IND,9.1,2004/12/26,16389.0,6913.0,,647599.0,654512.0,0.0,
2004-0659-KEN,Tsunami,,KEN,9.1,2004/12/26,1.0,,,,,0.0,
2004-0659-LKA,Tsunami,,LKA,9.1,2004/12/26,35399.0,23176.0,480000.0,516130.0,1019306.0,0.0,
2004-0659-MDV,Tsunami,,MDV,9.1,2004/12/26,102.0,2214.0,13000.0,12000.0,27214.0,0.0,
2004-0659-MMR,Tsunami,,MMR,9.1,2004/12/26,71.0,,3200.0,12500.0,15700.0,0.0,
2004-0659-MYS,Tsunami,,MYS,9.1,2004/12/26,80.0,767.0,4296.0,,5063.0,0.0,
2004-0659-SOM,Tsunami,,SOM,9.1,2004/12/26,298.0,283.0,,104800.0,105083.0,0.0,
2004-0659-SYC,Tsunami,,SYC,9.1,2004/12/26,3.0,,70.0,4760.0,4830.0,0.0,
2004-0659-THA,Tsunami,,THA,9.1,2004/12/26,8345.0,8457.0,,58550.0,67007.0,0.0,
2004-0659-TZA,Tsunami,,TZA,9.1,2004/12/26,10.0,,,,,0.0,
2004-0669-DEU,Ground movement,USGS:usp000da1z,DEU,4.8,2004/12/5,,,,150.0,150.0,1.0,10.0
2004-0670-SVN,Ground movement,USGS:usp000d00p,SVN,5.2,2004/7/12,1.0,5.0,,600.0,605.0,1.0,7.7
2004-0671-BDI,Ground movement,USGS:usp000cmxd,BDI,4.7,2004/2/24,3.0,,120.0,,120.0,0.0,10.0
2004-0680-CHN,Ground movement,USGS:usp000cu4k,CHN,5.5,2004/5/4,,,4199.0,,4199.0,0.0,13.5
2005-0016-IRN,Ground movement,USGS:usp000dd01,IRN,5.4,2005/1/10,,110.0,,,110.0,0.0,31.9
2005-0031-IDN,Ground movement,USGS:usp000de4m,IDN,6.3,2005/1/23,1.0,4.0,,680.0,684.0,0.0,11.0
2005-0070-TUR,Ground movement,USGS:usp000debc,TUR,5.9,2005/1/25,2.0,22.0,,400.0,422.0,0.0,41.2
2005-0092-IRN,Ground movement,USGS:usp000dgpx,IRN,6.4,2005/2/22,612.0,1411.0,,93355.0,94766.0,0.0,14.0
2005-0126-TUR,Ground movement,USGS:usp000dj5f,TUR,5.8,2005/3/14,,18.0,,2250.0,2268.0,0.0,5.0
2005-0129-JPN,Ground movement,USGS:usp000djku,JPN,6.6,2005/3/20,1.0,735.0,,2800.0,3535.0,1.0,10.0
2005-0132-ZAF,Ground movement,USGS:usp000dhva,ZAF,5.0,2005/3/9,2.0,58.0,,,58.0,0.0,5.0
2005-0160-IDN,Ground movement,,IDN,8.6,2005/3/28,915.0,1146.0,,104167.0,105313.0,0.0,
2005-0211-JPN,Ground movement,USGS:usp000dnsk,JPN,5.5,2005/4/19,,58.0,,837.0,895.0,1.0,18.7
2005-0240-SLV,Ground movement,USGS:usp000dpwb,SLV,4.8,2005/5/5,1.0,1.0,,750.0,751.0,0.0,52.7
2005-0321-CHL,Ground movement,USGS:usp000dsw1,CHL,7.8,2005/6/13,11.0,182.0,,27463.0,27645.0,0.0,115.6
2005-0321-PER,Ground movement,USGS:usp000dsw1,PER,7.8,2005/6/13,,,,,,0.0,115.6
2005-0328-PNG,Ground movement,USGS:usp000ds6y,PNG,6.1,2005/6/4,1.0,,200.0,,200.0,0.0,26.0
2005-0329-TUR,Ground movement,USGS:usp000dsbj,TUR,5.6,2005/6/6,,54.0,,300.0,354.0,0.0,10.0
2005-0558-PER,Ground movement,USGS:usp000e09h,PER,7.5,2005/9/26,5.0,59.0,,2446.0,2505.0,0.0,115.0
2005-0575-AFG,Ground movement,USGS:usp000e12e,AFG,7.6,2005/10/8,1.0,,,,,0.0,26.0
2005-0575-IND,Ground movement,USGS:usp000e12e,IND,7.6,2005/10/8,1309.0,6622.0,150000.0,,156622.0,0.0,26.0
2005-0575-PAK,Ground movement,USGS:usp000e12e,PAK,7.6,2005/10/8,73338.0,128309.0,5000000.0,,5128309.0,0.0,26.0
2005-0651-CHN,Ground movement,USGS:usp000e4wu,CHN,5.2,2005/11/26,16.0,8000.0,,607500.0,615500.0,0.0,11.1
2005-0654-IRN,Ground movement,USGS:usp000e501,IRN,5.9,2005/11/27,13.0,100.0,,,100.0,0.0,10.0
2005-0671-COD,Ground movement,USGS:usp000e5jx,COD,6.8,2005/12/5,6.0,5.0,1500.0,,1505.0,0.0,22.0
2005-0671-TZA,Ground movement,USGS:usp000e5jx,TZA,6.8,2005/12/5,2.0,,,5000.0,5000.0,0.0,22.0
2005-0686-AFG,Ground movement,USGS:usp000e61s,AFG,6.5,2005/12/13,5.0,1.0,,500.0,501.0,0.0,224.6
2005-0738-IRN,Ground movement,USGS:usp000dj38,IRN,6.0,2005/3/13,,,,21912.0,21912.0,0.0,54.0
2005-0740-CHN,Ground movement,USGS:usp000dwrc,CHN,5.2,2005/8/5,,9.0,,18500.0,18509.0,0.0,42.4
2006-0061-CHN,Ground movement,USGS:usp000e82j,CHN,4.6,2006/1/12,,1.0,68760.0,,68761.0,0.0,32.8
2006-0100-MOZ,Ground movement,USGS:usp000eamh,MOZ,7.0,2006/2/22,4.0,36.0,1440.0,,1476.0,0.0,11.0
2006-0123-IRN,Ground movement,USGS:usp000eb19,IRN,6.0,2006/2/28,,6.0,,7000.0,7006.0,0.0,18.0
2006-0148-BGR,Ground movement,USGS:usp000eaez,BGR,4.6,2006/2/20,,2.0,,525.0,527.0,0.0,10.0
2006-0149-DZA,Ground movement,USGS:usp000ecjv,DZA,5.2,2006/3/20,4.0,9.0,150.0,160.0,319.0,0.0,10.0
2006-0153-IRN,Ground movement,USGS:usp000edad,IRN,6.1,2006/3/31,63.0,1418.0,,160000.0,161418.0,0.0,7.0
2006-0214-RUS,Ground movement,USGS:usp000ef1h,RUS,7.6,2006/4/20,,40.0,,12000.0,12040.0,0.0,22.0
2006-0231-IDN,Tsunami,USGS:usp000ec4d,IDN,6.7,2006/3/14,3.0,2.0,,1200.0,1202.0,0.0,30.1
2006-0239-IRN,Ground movement,USGS:usp000egfm,IRN,5.0,2006/5/7,,70.0,,,70.0,0.0,14.1
2006-0279-IDN,Ground movement,USGS:usp000ej1c,IDN,6.3,2006/5/26,5778.0,137883.0,699295.0,2340745.0,3177923.0,0.0,12.5
2006-0372-IDN,Tsunami,USGS:usp000ensm,IDN,7.7,2006/7/17,802.0,543.0,,35000.0,35543.0,0.0,20.0
2006-0397-CHN,Ground movement,USGS:usp000ep9q,CHN,4.9,2006/7/22,22.0,106.0,75000.0,190000.0,265106.0,0.0,55.6
2006-0405-AFG,Ground movement,USGS:usp000epsz,AFG,5.6,2006/7/29,1.0,,195.0,740.0,935.0,0.0,34.2
2006-0405-TJK,Ground movement,USGS:usp000epsz,TJK,5.6,2006/7/29,3.0,19.0,,15408.0,15427.0,0.0,34.2
2006-0464-CHN,Ground movement,USGS:usp000ekvx,CHN,4.9,2006/6/20,,5.0,,125.0,130.0,0.0,24.2
2006-0475-CHN,Ground movement,USGS:usp000erq0,CHN,5.0,2006/8/25,1.0,31.0,,45520.0,45551.0,0.0,21.8
2006-0586-CHN,Ground movement,USGS:usp000ew4d,CHN,4.5,2006/10/27,,,,20000.0,20000.0,0.0,10.0
2006-0620-CHN,Ground movement,USGS:usp000ewhk,CHN,4.7,2006/11/3,,,,12000.0,12000.0,0.0,10.0
2006-0678-IDN,Ground movement,USGS:usp000f0er,IDN,5.8,2006/12/17,8.0,200.0,,1000.0,1200.0,0.0,30.0
2006-0688-TWN,Ground movement,USGS:usp000f114,TWN,7.1,2006/12/26,2.0,42.0,,,42.0,,10.0
2006-0694-KGZ,Ground movement,USGS:usp000f0zk,KGZ,5.8,2006/12/26,,,50.0,12000.0,12050.0,0.0,11.6
2006-0699-SLV,Ground movement,USGS:usp000f0mk,SLV,4.1,2006/12/17,,,,16470.0,16470.0,0.0,10.0
2006-0704-USA,Ground movement,USGS:usp000ev94,USA,6.7,2006/10/15,,10.0,,3519.0,3529.0,1.0,38.182
2006-0705-IDN,Ground movement,USGS:usp000ez9y,IDN,6.3,2006/12/1,1.0,14.0,100.0,,114.0,0.0,19.0
2007-0087-IDN,Ground movement,GLIDE:EQ-2007-000033|USGS:usp000f660,IDN,6.3,2007/3/6,67.0,826.0,,136834.0,137660.0,0.0,11.0
2007-0101-JPN,Ground movement,GLIDE:EQ-2007-000039|USGS:usp000f7b5,JPN,6.7,2007/3/25,1.0,359.0,40668.0,,41027.0,1.0,8.0
2007-0127-SLB,Tsunami,USGS:usp000f83m,SLB,8.1,2007/4/1,52.0,9.0,,2375.0,2384.0,0.0,24.0
2007-0158-CHL,Tsunami,USGS:usp000fa97,CHL,6.2,2007/4/21,10.0,,,,,0.0,36.7
2007-0217-CHN,Ground movement,GLIDE:EQ-2007-000074|USGS:usp000fd8a,CHN,6.1,2007/6/2,3.0,329.0,,,329.0,0.0,5.0
2007-0258-JPN,Ground movement,GLIDE:EQ-2007-000102|USGS:usp000fg9t,JPN,6.6,2007/7/16,9.0,1000.0,,13000.0,14000.0,1.0,12.0
2007-0287-TJK,Ground movement,GLIDE:EQ-2007-000108|USGS:usp000fgtx,TJK,5.2,2007/7/21,11.0,3.0,,7000.0,7003.0,0.0,10.0
2007-0334-RUS,Ground movement,GLIDE:EQ-2007-000119|USGS:usp000fhn0,RUS,6.2,2007/8/2,2.0,12.0,,25000.0,25012.0,0.0,5.0
2007-0362-PER,Ground movement,GLIDE:EQ-2007-000133|USGS:usp000fjta,PER,8.0,2007/8/15,593.0,1366.0,,656965.0,658331.0,0.0,39.0
2007-0433-COL,Ground movement,USGS:usp000fmtk,COL,6.8,2007/9/10,,5.0,,170.0,175.0,0.0,15.0
2007-0440-IDN,Ground movement,GLIDE:EQ-2007-000157,IDN,8.4,2007/9/12,25.0,82.0,36800.0,422685.0,459567.0,0.0,
2007-0461-HND,Ground movement,GLIDE:EQ-2007-000166|USGS:usp000fnc9,HND,5.3,2007/9/15,,18.0,1865.0,,1883.0,0.0,32.8
2007-0485-IDN,Ground movement,USGS:usp000fmst,IDN,4.9,2007/9/9,,19.0,,450.0,469.0,0.0,35.0
2007-0565-IDN,Ground movement,GLIDE:EQ-2007-000218|USGS:usp000ft98,IDN,6.5,2007/11/25,3.0,1800.0,,20000.0,21800.0,0.0,20.0
2007-0572-BRB,Ground movement,GLIDE:EQ-2007-000218|USGS:usp000ftj1,BRB,7.4,2007/11/29,,1.0,,,1.0,0.0,156.0
2007-0572-LCA,Ground movement,GLIDE:EQ-2007-000218|USGS:usp000ftj1,LCA,7.4,2007/11/29,,,,,,0.0,156.0
2007-0572-MTQ,Ground movement,GLIDE:EQ-2007-000218|USGS:usp000ftj1,MTQ,7.4,2007/11/29,1.0,100.0,,,100.0,,156.0
2007-0587-CHL,Ground movement,GLIDE:EQ-2007-000207|USGS:usp000fshy,CHL,7.7,2007/11/14,2.0,155.0,,25000.0,25155.0,0.0,40.0
2007-0653-BRA,Ground movement,USGS:usp000fu34,BRA,4.9,2007/12/9,1.0,6.0,,280.0,286.0,0.0,10.0
2007-0654-JPN,Ground movement,USGS:usp000f9rr,JPN,5.1,2007/4/15,,12.0,,189.0,201.0,1.0,15.7
2007-0692-GBR,Ground movement,USGS:usp000fase,GBR,4.6,2007/4/28,,1.0,,4500.0,4501.0,1.0,10.0
2008-0001-KGZ,Ground movement,GLIDE:EQ-2008-000002|USGS:usp000fvrz,KGZ,5.6,2008/1/13,,,,3000.0,3000.0,0.0,6.0
2008-0040-COD,Ground movement,GLIDE:EQ-2008-000017|USGS:usp000fy21,COD,5.9,2008/2/3,11.0,,,17355.0,17355.0,0.0,10.0
2008-0040-RWA,Ground movement,GLIDE:EQ-2008-000017|USGS:usp000fy21,RWA,5.9,2008/2/3,36.0,643.0,,,643.0,0.0,10.0
2008-0071-IDN,Ground movement,GLIDE:EQ-2008-000028|USGS:usp000fzau,IDN,7.4,2008/2/20,3.0,25.0,,,25.0,0.0,26.0
2008-0099-USA,Ground movement,USGS:nn00234425,USA,5.9,2008/2/21,,3.0,,2100.0,2103.0,1.0,7.9
2008-0178-IRN,Ground movement,USGS:usp000g57j,IRN,4.5,2008/5/1,,170.0,,,170.0,0.0,16.0
2008-0192-CHN,Ground movement,GLIDE:EQ-2008-000062|USGS:usp000g650,CHN,7.9,2008/5/12,87476.0,366596.0,,45610000.0,45976596.0,0.0,19.0
2008-0226-GRC,Ground movement,USGS:usp000g8vs,GRC,6.4,2008/6/8,2.0,240.0,,3468.0,3708.0,1.0,16.0
2008-0242-JPN,Ground movement,GLIDE:EQ-2008-000087|USGS:usp000g9h6,JPN,6.9,2008/6/13,23.0,448.0,,,448.0,1.0,7.8
2008-0275-JPN,Ground movement,GLIDE:EQ-2008-000115|USGS:usp000gczp,JPN,6.8,2008/7/23,1.0,200.0,,270.0,470.0,1.0,108.0
2008-0325-CHN,Ground movement,USGS:usp000gdw4,CHN,6.0,2008/8/5,4.0,29.0,13500.0,,13529.0,0.0,6.0
2008-0355-CHN,Ground movement,USGS:usp000gf5p,CHN,6.0,2008/8/21,6.0,160.0,,,160.0,0.0,10.0
2008-0374-CHN,Ground movement,GLIDE:EQ-2008-000149|USGS:usp000gg00,CHN,6.0,2008/8/30,40.0,589.0,50000.0,950000.0,1000589.0,0.0,11.0
2008-0401-IRN,Ground movement,USGS:usp000ggsg,IRN,6.1,2008/9/10,6.0,45.0,,20500.0,20545.0,0.0,12.0
2008-0403-IDN,Ground movement,USGS:usp000ggpt,IDN,5.2,2008/9/9,2.0,60.0,,565.0,625.0,0.0,25.2
2008-0454-KGZ,Ground movement,GLIDE:EQ-2008-000181|USGS:usp000gjd4,KGZ,6.7,2008/10/5,74.0,142.0,1055.0,,1197.0,0.0,27.4
2008-0455-CHN,Ground movement,USGS:usp000gjgt,CHN,6.3,2008/10/6,30.0,19.0,735.0,,754.0,0.0,12.0
2008-0476-RUS,Ground movement,USGS:usp000gjy6,RUS,5.8,2008/10/11,13.0,100.0,,5135.0,5235.0,0.0,16.0
2008-0500-PAK,Ground movement,GLIDE:EQ-2008-000206|USGS:usp000gm8g,PAK,6.4,2008/10/28,166.0,320.0,,75000.0,75320.0,0.0,15.0
2008-0536-IDN,Ground movement,USGS:usp000gnur,IDN,7.4,2008/11/16,6.0,77.0,,10000.0,10077.0,0.0,30.0
2008-0588-CHN,Ground movement,USGS:usp000grfr,CHN,4.8,2008/12/25,,19.0,150.0,27000.0,27169.0,0.0,35.0
2008-0649-COL,Ground movement,USGS:usp000g7p6,COL,5.9,2008/5/24,11.0,54.0,1700.0,,1754.0,0.0,8.9
2008-0650-CHN,Ground movement,USGS:usp000g7r4,CHN,6.1,2008/5/25,8.0,1000.0,350000.0,,351000.0,0.0,18.0
2009-0001-IDN,Ground movement,USGS:usp000gs2d,IDN,7.7,2009/1/3,5.0,250.0,,4000.0,4250.0,0.0,17.0
2009-0002-CRI,Ground movement,GLIDE:EQ-2009-000009|USGS:usp000gscg,CRI,6.1,2009/1/8,31.0,91.0,,128527.0,128618.0,0.0,14.0
2009-0059-CHN,Ground movement,USGS:usp000gt2t,CHN,5.1,2009/1/25,,,,4549.0,4549.0,0.0,19.0
2009-0112-IDN,Ground movement,USGS:usp000gtnc,IDN,7.2,2009/2/11,,64.0,,2985.0,3049.0,0.0,20.0
2009-0136-ITA,Ground movement,GLIDE:EQ-2009-000072|USGS:usp000gvtu,ITA,6.3,2009/4/6,295.0,1000.0,55000.0,,56000.0,1.0,8.8
2009-0156-AFG,Ground movement,USGS:usp000gw84,AFG,5.2,2009/4/16,22.0,59.0,3250.0,,3309.0,0.0,5.9
2009-0205-HND,Ground movement,GLIDE:EQ-2009-000108|USGS:usp000gxkj,HND,7.3,2009/5/28,7.0,136.0,,50000.0,50136.0,0.0,19.0
2009-0249-CHN,Ground movement,GLIDE:EQ-2009-000130|USGS:usp000gz2j,CHN,5.7,2009/7/9,1.0,336.0,50000.0,15000.0,65336.0,0.0,7.0
2009-0320-JPN,Tsunami,USGS:usp000h05y,JPN,6.2,2009/8/10,1.0,319.0,,25000.0,25319.0,1.0,40.4
2009-0354-IDN,Ground movement,GLIDE:TS-2009-000173|USGS:usp000h152,IDN,7.0,2009/9/2,128.0,1442.0,,338350.0,339792.0,0.0,46.0
2009-0366-ALB,Ground movement,USGS:usp000h19n,ALB,5.5,2009/9/7,,,150.0,,150.0,0.0,3.0
2009-0388-GEO,Ground movement,GLIDE:EQ-2009-000191|USGS:usp000h1ar,GEO,6.0,2009/9/7,,6.0,,7300.0,7306.0,0.0,15.0
2009-0404-PHL,Ground movement,USGS:usp000h1mu,PHL,5.7,2009/9/18,,2.0,10.0,380.0,392.0,0.0,10.0
2009-0406-BTN,Ground movement,USGS:usp000h1r4,BTN,8.1,2009/9/21,11.0,12.0,,,12.0,0.0,14.0
2009-0420-ASM,Tsunami,GLIDE:TS-2009-000210|USGS:usp000h1ys,ASM,8.1,2009/9/29,34.0,,,2500.0,2500.0,,18.0
2009-0420-TON,Tsunami,GLIDE:TS-2009-000210|USGS:usp000h1ys,TON,8.1,2009/9/29,9.0,7.0,,500.0,507.0,0.0,18.0
2009-0420-WSM,Tsunami,GLIDE:TS-2009-000210|USGS:usp000h1ys,WSM,8.1,2009/9/29,148.0,310.0,,5274.0,5584.0,0.0,18.0
2009-0421-IDN,Ground movement,GLIDE:TS-2009-000211|USGS:usp000h237,IDN,6.6,2009/9/30,1195.0,1798.0,,2500000.0,2501798.0,0.0,81.0
2009-0479-IDN,Ground movement,USGS:usp000h3vc,IDN,7.6,2009/11/8,2.0,100.0,,1410.0,1510.0,0.0,18.0
2009-0493-IRN,Ground movement,USGS:usp000h3qd,IRN,5.0,2009/11/3,,269.0,,,269.0,0.0,14.1
2009-0547-MWI,Ground movement,GLIDE:EQ-2009-000257|USGS:usp000h4v7,MWI,5.9,2009/12/8,1.0,15.0,15000.0,,15015.0,0.0,8.0
2009-0573-MWI,Ground movement,USGS:usp000h56x,MWI,6.0,2009/12/20,3.0,171.0,5550.0,,5721.0,0.0,6.0
2010-0002-TJK,Ground movement,GLIDE:EQ-2010-000001,TJK,5.4,2010/1/2,,,1134.0,6706.0,7840.0,0.0,
2010-0003-SLB,Ground movement,USGS:usp000h5np,SLB,7.1,2010/1/3,,1.0,,1125.0,1126.0,0.0,10.0
2010-0017-HTI,Ground movement,GLIDE:EQ-2010-000009,HTI,7.0,2010/1/12,222570.0,300000.0,,3400000.0,3700000.0,0.0,
2010-0018-IRN,Ground movement,USGS:usp000h678,IRN,5.0,2010/1/16,,,,750.0,750.0,0.0,5.0
2010-0027-USA,Ground movement,USGS:usp000h5we,USA,6.5,2010/1/10,,30.0,,600.0,630.0,1.0,28.737
2010-0064-CHN,Ground movement,USGS:usp000h6t0,CHN,5.1,2010/1/30,1.0,15.0,500.0,10000.0,10515.0,0.0,10.0
2010-0087-CHN,Ground movement,USGS:usp000h7nu,CHN,5.2,2010/2/25,,11.0,,50000.0,50011.0,0.0,10.0
2010-0091-CHL,Tsunami,GLIDE:EQ-2010-000034,CHL,8.8,2010/2/27,562.0,10334.0,800000.0,1861222.0,2671556.0,0.0,
2010-0093-TUR,Ground movement,USGS:usp000h8x1,TUR,6.1,2010/3/8,51.0,100.0,,3500.0,3600.0,0.0,12.0
2010-0158-MEX,Ground movement,USGS:ci14607652,MEX,7.2,2010/4/4,2.0,232.0,,25000.0,25232.0,0.0,9.987
